 ##########################################

   Memory Reading Speed Test aarch64 native optimized Thu Oct 13 06:02:03 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   25708  17681  13826  25724  13311  17913  17697  17549  16816
      16   25727  17576  13731  25732  13339  17659  17701  17413  16432
      32   25611  17619  13789  25617  13388  17811  17595  17553  16558
      64   25669  17662  13821  25676  13406  17871  17648  17618  16615
     128   21440  14905  13130  21384  11732  17118  17287  16595  16257
     256   21451  14879  13140  21399  11742  17135  17290  16282  15940
     512   21251  14922  13124  21241  11696  17096  17231  16284  15915
    1024   20872  14961  13125  21096  11716  17111  17259  16061  15942
    2048   20137  14946  13095  20695  11695  17002  16850  15410  15493
    4096   17707  14192  12815  17867  11571  15780  13001  12641  12722
    8192   14605  12860  12362  14631  11332  13635  10466  10365  10448

                End of test Thu Oct 13 06:02:21 2022

