    BusSpeed riscv64 rv64g optimized Mon Feb 21 13:51:33 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   2429   2650   2980   3157   3254   3437
      32   1406   1445   1994   3020   3169   3380
      64    209    209    427    777   1282   1874
     128    181    180    360    664   1132   1705
     256    177    177    357    655   1120   1689
     512    177    178    356    654   1120   1690
    1024    176    177    355    650   1115   1685
    4096     23     23     47     94    183    348
   16384     19     19     39     77    153    288
   65536     19     19     39     77    152    288
