    BusSpeed riscv64 rv64g-opt optimized Tue Feb 22 01:24:25 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   2818   3148   3492   3703   3730   3739
      32   1463   1528   2114   3508   3610   3669
      64    208    209    425    774   1282   1907
     128    179    180    358    661   1123   1728
     256    175    177    355    651   1107   1712
     512    176    178    355    650   1107   1712
    1024    175    177    354    648   1102   1701
    4096     23     23     47     94    183    349
   16384     19     19     39     77    152    289
   65536     19     19     39     77    152    288
