MemTotal:        7388200 kB
MemFree:         1900296 kB
MemAvailable:    7207964 kB
Buffers:          207492 kB
Cached:          4793108 kB
SwapCached:            0 kB
Active:          1057620 kB
Inactive:        3967092 kB
Active(anon):       1148 kB
Inactive(anon):    26452 kB
Active(file):    1056472 kB
Inactive(file):  3940640 kB
Unevictable:        8700 kB
Mlocked:            8700 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 4 kB
Writeback:             0 kB
AnonPages:         32812 kB
Mapped:            48316 kB
Shmem:              1208 kB
KReclaimable:     396648 kB
Slab:             436312 kB
SReclaimable:     396648 kB
SUnreclaim:        39664 kB
KernelStack:        1504 kB
PageTables:         1300 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     3694100 kB
Committed_AS:     225884 kB
VmallocTotal:   67108863 kB
VmallocUsed:        1616 kB
VmallocChunk:          0 kB
Percpu:              640 kB
CmaTotal:         655360 kB
CmaFree:           43888 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
