 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Tue Feb 22 02:22:41 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    1415   2652   4546   1416   2653   4546   1986   1445   3166
      16    1415   2628   4549   1416   2655   4549   1981   1446   3176
      32    1405   2633   4501   1402   2630   4510   1970   1437   3153
      64     861   1607   2076    856   1594   2076    708    628    819
     128     799   1487   1868    793   1473   1869    625    563    710
     256     792   1471   1844    787   1457   1844    615    555    697
     512     790   1468   1843    786   1452   1843    614    554    697
    1024     782   1467   1829    786   1453   1838    614    555    697
    2048     556   1060   1266    573   1059   1260    388    360    421
    4096     277    519    562    276    519    558    158    154    163
    8192     239    405    429    239    405    429    134    131    137

                End of test Tue Feb 22 02:23:01 2022

