    BusSpeed riscv64 rv64g optimized Thu Jan 12 20:24:08 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   4386   4746   5346   5658   5688   5704
      32   1466   1474   2257   5174   5424   5569
      64    320    319    655   1188   1973   2946
     128    328    329    656   1189   1973   2947
     256    327    328    658   1187   1970   2942
     512    326    329    655   1181   1963   2935
    1024    326    329    656   1151   1962   2935
    4096    109    144    279    552   1055   1945
   16384     97    141    261    515    990   1854
   65536    139    189    366    703   1292   2235
