 ##########################################

   Memory Reading Speed Test riscv64 rv64g-opt optimized Thu Jan 12 20:46:04 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    2091   2386   3819   2090   2422   3815   2974   2719   2884
      16    2093   2423   3827   2092   2424   3826   2981   2730   2895
      32    2091   2424   3828   2091   2420   3828   2989   2733   2898
      64    1450   1621   2080   1462   1623   1947   1449   1406   1162
     128    1446   1624   2070   1458   1623   1933   1450   1408   1170
     256    1448   1620   2074   1459   1621   1935   1443   1402   1169
     512    1444   1612   2064   1454   1613   1941   1433   1393   1157
    1024    1442   1610   2064   1454   1613   1941   1431   1393   1157
    2048    1395   1543   1945   1403   1543   1848   1243   1224   1070
    4096    1228   1304   1493   1234   1299   1449    855    847    792
    8192    1144   1171   1336   1148   1171   1298    757    749    705

                End of test Thu Jan 12 20:46:22 2023

