    BusSpeed riscv64 rv64g-opt optimized Sun Oct 22 02:49:38 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   5546   5563   5987   6319   7376   7424
      32   5882   5912   6109   6316   7446   7445
      64   1002   1402   2390   3576   4577   5831
     128    714   1051   1811   2933   3735   5267
     256    714   1053   1818   2960   3714   5248
     512    722   1060   1808   2970   3716   5272
    1024    417    647   1115   2085   3132   5060
    4096    234    376    632   1295   2319   4414
   16384    204    318    545   1133   1999   3822
   65536    165    253    446   1003   1802   3387
