    BusSpeed riscv64 rv64g-opt optimized Sun Oct 22 02:50:09 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   5541   5564   5983   6345   7419   7422
      32   5880   5910   6104   6266   7398   7394
      64   1547   2152   3177   4268   5388   6326
     128    712   1052   1817   2948   3708   5265
     256    720   1052   1830   2964   3711   5269
     512    717   1060   1831   2969   3675   5225
    1024    337    542    935   1749   2920   4976
    4096    235    376    642   1287   2306   4429
   16384    203    315    553   1138   1982   3833
   65536    166    253    452    983   1758   3435
