    BusSpeed riscv64 rv64g-opt optimized Sun Oct 22 02:50:19 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   5514   5563   6022   6970   6906   7542
      32   5846   5895   5931   6939   6928   7562
      64   1006   1499   2497   3985   4927   5870
     128    758   1141   1955   3211   4294   5436
     256    692   1048   1820   3133   4172   5332
     512    697   1054   1842   3141   4174   5337
    1024    385    637   1104   2110   3436   5201
    4096    227    381    639   1306   2438   4376
   16384    201    319    545   1157   2126   3824
   65536    166    254    437   1005   1891   3370
