    BusSpeed riscv64 rv64g-opt optimized Sun Oct 22 02:51:50 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   5516   5512   6023   6972   6900   7538
      32   5850   5898   5927   6935   6923   7552
      64   1223   1773   2767   4060   5146   6231
     128    728   1101   1915   3192   4275   5388
     256    694   1048   1847   3142   4171   5281
     512    698   1056   1848   3143   4167   5287
    1024    346    585   1002   1961   3223   5096
    4096    227    378    636   1324   2474   4391
   16384    201    319    544   1160   2123   3831
   65536    167    254    438   1010   1900   3386
