    BusSpeed riscv64 rv64g-opt optimized Sun Oct 22 02:52:11 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   5517   5575   6028   6982   6907   7547
      32   5859   5902   5932   6946   6933   7561
      64   1316   1846   3046   4460   5461   6305
     128    718   1077   1866   3167   4217   5324
     256    694   1048   1837   3143   4174   5298
     512    698   1056   1841   3143   4169   5286
    1024    355    572    970   1925   3213   5105
    4096    226    378    638   1316   2475   4398
   16384    201    318    543   1153   2102   3598
   65536    164    241    409    953   1805   3221
