    BusSpeed riscv64 rv64g optimized Sun Oct 22 02:53:32 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   5525   5560   5990   6348   7372   7389
      32   5845   5896   6109   6316   7443   7439
      64   1239   1790   2885   3989   5364   6185
     128    724   1069   1851   3029   4097   5301
     256    711   1049   1839   3087   3961   5244
     512    704   1051   1830   3083   4043   5267
    1024    366    580   1010   1929   3169   5048
    4096    235    369    630   1291   2340   4392
   16384    206    312    548   1150   2022   3802
   65536    166    247    447   1001   1817   3392
