    BusSpeed riscv64 rv64g optimized Sun Oct 22 02:54:33 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   5497   5553   6027   6967   6902   7518
      32   5847   5901   5928   6938   6924   7543
      64   1254   1797   2779   4053   5124   6193
     128    714   1065   1847   3109   4117   5373
     256    708   1049   1836   3042   4119   5339
     512    714   1056   1829   3044   4113   5332
    1024    402    633   1067   2152   3389   5231
    4096    239    363    619   1295   2429   4375
   16384    207    306    531   1137   2095   3825
   65536    166    241    424    997   1865   3368
