    BusSpeed riscv64 rv64g optimized Sun Oct 22 02:55:24 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   5505   5542   5993   6352   7415   7432
      32   5882   5909   6113   6313   7442   7436
      64    976   1411   2330   3483   4598   5754
     128    728   1076   1856   3081   4161   5313
     256    703   1044   1828   3086   4019   5270
     512    710   1054   1835   3080   4042   5270
    1024    373    586   1018   1932   3177   5053
    4096    236    372    639   1304   2354   4317
   16384    206    312    549   1151   2039   3867
   65536    167    247    450   1006   1817   3402
