 ##########################################

   Memory Reading Speed Test riscv64 rv64g-opt optimized Sun Oct 22 06:17:44 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   12642   7046   7065  12634   7046   7059  10821   5556  10745
      16   12637   7060   7069  12651   7064   7042  10507   5587  10695
      32   10077   5918   6306  10001   5892   6286   9204   5063   8491
      64    9994   5818   6345  10210   5729   6301   9314   5144   9125
     128    9130   5052   5986   9121   5038   5872  10103   5305   9820
     256    8575   4615   5557   8642   4560   5490  10447   5359  10379
     512    8658   4631   5584   8703   4556   5483  10174   5313  10462
    1024    7934   3451   5558   8133   3634   5494  10150   5315  10507
    2048    5349   2186   5516   5563   1961   5464   8051   5307   7647
    4096    5423   2034   5429   5635   2060   5419   5460   5296   5137
    8192    5410   2064   5429   5608   2009   5393   5338   5183   5176

                End of test Sun Oct 22 06:18:01 2023

