 ##########################################

   Memory Reading Speed Test riscv64 rv64g-opt optimized Sun Oct 22 06:18:17 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   12558   7003   7016  12625   7041   7055  10627   5566  11039
      16   12639   7053   7042  12648   7061   7039  11291   5667  11728
      32    8752   5629   5999   9038   5599   5811  12009   5710  12066
      64    8790   5154   5924   8654   5078   5694  12857   5840  13023
     128    8558   4676   5604   8664   4615   5509  10411   5362   9906
     256    7985   4517   5381   8347   4467   5319  10321   5305  10406
     512    8312   4541   5481   8454   4497   5369  10196   5311  10467
    1024    7904   3171   5367   8099   3186   5332  10187   5309  10496
    2048    5484   2062   5418   5670   1958   5375   7737   5307   7535
    4096    5470   2050   5426   5685   2008   5381   5493   5307   5144
    8192    5447   2070   5397   5660   1993   5355   5357   5102   5191

                End of test Sun Oct 22 06:18:34 2023

