 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Sun Oct 22 06:24:11 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   12667   7050   6561  12615   7012   7045  10836   5930   9990
      16    8013   4798   4410   7935   4928   4801  12272   6226  10446
      32    9836   5828   5299   9494   5904   5648  12432   6228  10496
      64    9136   5508   5020   9119   5839   5672  10393   5907   9828
     128    8892   5490   4793   8895   5463   5507  11007   5973   9796
     256    8622   5368   4698   8603   5367   5396  10420   5861   9368
     512    8612   5386   4711   8603   5403   5428  10460   5853   9371
    1024    8251   5401   3100   8097   5399   5426  10450   5860   9362
    2048    6060   5447   2144   6060   5452   5465   9141   5775   8460
    4096    5825   5418   2103   5858   5434   5456   5474   5793   7309
    8192    5869   5393   2086   5845   5414   5442   5363   5644   7015

                End of test Sun Oct 22 06:24:27 2023

