 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Sun Oct 22 06:25:50 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   12663   7051   7054  12662   7049   7015  10557   5961  10180
      16   12687   7054   6969  12699   7056   7063  10661   6004  10231
      32   12709   7054   7063  12711   7061   7059  10909   6092  10410
      64   10900   6449   6457  10928   6499   6496  11847   6295  10459
     128    9180   5834   5829   9174   5840   5830  11583   6104   9979
     256    8939   5651   5640   8938   5650   5661  10411   5972   9500
     512    8795   5546   5537   8821   5479   5535  10415   6007   9531
    1024    8548   5518   5493   8513   5514   5503  10444   6011   9528
    2048    5823   5476   5431   5803   5469   5404   8893   5975   8476
    4096    5867   5436   5410   5874   5433   5416   5468   5890   7301
    8192    5876   5421   5405   5861   5430   5409   5383   5751   7064

                End of test Sun Oct 22 06:26:06 2023

