 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Sun Oct 22 06:27:13 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   12672  13380  11469  12662  13651  11500  10772   5957  10159
      16   12683  13494  11546  12693  13829  11520  10760   6041  10222
      32    8090  10315   9519   7904  10187   8994  12701   6308  10538
      64    8605  10201   9607   8509  10316   9682  13237   6344  10587
     128    8996  11079  10414   8939  11162  10018  12443   6195  10224
     256    8774  10766  10504   8767  10838  10009  10360   5990   9576
     512    8735  10591  10379   8748  10644   9965  10414   6011   9520
    1024    8415  10342  10188   8341  10399   9725  10439   6014   9535
    2048    5939  10106  10082   5950  10173   9751   8127   5952   8103
    4096    5960  10064  10012   5974  10108   9674   5463   5910   7304
    8192    5851  10116  10068   5880  10124   9666   5337   5751   7062

                End of test Sun Oct 22 06:27:31 2023

