 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Sun Oct 22 06:27:31 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   12679  12663  10581  12661  12674  10575  11309   6007  10204
      16   12686  12644  10545  12693  12694  10607  11152   5864  10263
      32   12715  12779  10618  12716  12727  10611  11113   5848  10321
      64   10085   9827  10435  10112   9257  10354  10263   5712   9545
     128    8889   9477  10055   8890   8114  10062  10592   5866   9599
     256    8706   9742   9345   8685   7765   9326  10273   5822   9370
     512    8668   9110   9356   8599   7771   9280  10418   5885   9369
    1024    8373   6102   9428   8353   4470   9393  10442   5877   9363
    2048    5816   3852   9372   5815   2941   9438   8032   5844   7930
    4096    5835   3667   9184   5870   2989   9308   5409   5811   7311
    8192    5862   4060   9225   5856   2961   9277   5401   5670   7099

                End of test Sun Oct 22 06:27:48 2023

