 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Sun Oct 22 06:30:26 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8   12664  13476  11508  12640  13778  11521  11161   6079  10171
      16   12608  13461  11503  12708  13830  11507  11106   6414  10363
      32   12700  13399  11567  12674  13571  11572  12095   6543  10418
      64   10760  12406  11300  10762  12520  11472  10874   6266   9997
     128    8936  10611  10525   8876  10896  10487   9952   5900   9518
     256    8534  10270  10205   8503  10426  10168  10534   5869   9627
     512    8633  10517  10338   8707  10584  10356  10408   6008   9479
    1024    8290  10417  10234   7920  10413  10189  10378   5982   9504
    2048    5891  10302  10164   5857  10404  10101   9054   5943   8516
    4096    5855  10212   9949   5886  10259  10046   5433   5879   7286
    8192    5828  10091   9319   5871  10185   9675   5357   5747   6887

                End of test Sun Oct 22 06:30:45 2023

