    BusSpeed sparc64 sparc64-vis optimized Sat Apr  1 01:39:35 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16    719    540    687    703    722    737
      32    440    366    368    360    472    547
      64    444    365    377    361    472    547
     128    457    376    377    361    472    547
     256    458    374    379    360    471    546
     512     72     70    117    177    280    403
    1024     31     31     55     97    178    287
    4096     25     25     45     81    153    255
   16384     25     25     45     81    152    256
   65536     25     25     45     81    153    257
