    BusSpeed sparc64 sparc64-vis optimized Sat Apr  1 01:40:07 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   1004   1061   1694   2158   2276   2345
      32    466    483    484    504    516    636
      64    467    483    496    504    517    636
     128    479    493    493    502    513    633
     256    477    489    490    495    509    627
     512     80     81    130    215    305    454
    1024     32     32     56    103    173    301
    4096     26     26     46     87    150    270
   16384     26     26     46     87    150    270
   65536     26     26     46     87    150    270
