    BusSpeed sparc64 sparc64 optimized Sat Apr  1 01:38:08 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16    681    552    693    713    736    749
      32    434    366    368    357    472    547
      64    439    368    377    358    473    540
     128    452    377    378    358    472    547
     256    151    142    206    258    380    481
     512     57     57     98    154    259    376
    1024     30     29     53     94    173    280
    4096     25     25     45     81    153    256
   16384     25     25     45     81    153    256
   65536     25     25     45     81    153    257
