    BusSpeed sparc64 sparc64 optimized Sat Apr  1 01:38:51 2023
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16    688    551    692    702    723    737
      32    440    366    368    359    471    547
      64    444    367    377    361    472    547
     128    457    376    377    361    459    547
     256    458    376    379    360    471    546
     512     95     91    145    204    284    429
    1024     15     12     21     39     73    123
    4096     24     25     45     81    153    255
   16384     25     24     45     81    153    255
   65536     25     25     45     81    153    257
