 ##########################################

   Memory Reading Speed Test sparc64 sparc64-vis optimized Sat Apr  1 02:01:29 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    1721   2295   4571   3158   2755   4576   1719   1289   2562
      16    1721   2298   4593   3171   2753   4588   1720   1289   2574
      32     871   1391   1904   1105   1233   1905   1722   1292   2580
      64     861   1379   1882   1089   1218   1882    656    579    747
     128     857   1373   1867   1083   1209   1870    643    571    735
     256     604   1029   1263    686    946   1264    382    350    403
     512     439    778    883    470    741    884    253    236    257
    1024     260    503    513    274    492    505    138    132    137
    2048     211    415    406    221    409    407    109    105    108
    4096     208    408    397    218    404    395    107     64    106
    8192     204    374    368    222    371    368    108    105    107

                End of test Sat Apr  1 02:01:54 2023

