 ##########################################

   Memory Reading Speed Test sparc64 sparc64 optimized Sat Apr  1 01:58:56 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    1477   1088   1473   2381   1377   1587   1581   1147   2044
      16    1475   1010   1047   1248    674    788    774    577    977
      32     794    652    747    996    697    699   1586   1148   2066
      64     828    646    728    979    690    690    618    581    750
     128     828    647    739    983    690    689    609    575    739
     256     821    642    735    980    686    687    605    571    734
     512     458    402    435    493    418    414    272    259    285
    1024     258    234    254    263    239    239    131    128    132
    2048     220    202    219    223    204    204    109    106    108
    4096     216    199    216    219    201    201    107    104    107
    8192     221    194    219    222    196    196    107    106    107

                End of test Sat Apr  1 01:59:24 2023

