 ##########################################

   Memory Reading Speed Test sparc64 sparc64 optimized Sat Apr  1 01:59:24 2023
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    1476   1723   2584   2422   2176   2724   1581   1147   2054
      16    1474   1721   2584   2431   2176   2742   1587   1148   2061
      32     835   1098   1309    997   1229   1307   1589   1148   2065
      64     827   1089   1293    985   1218   1273    618    581    750
     128     819   1077   1282    977   1207   1282    603    569    732
     256     752   1021   1194    880   1135   1200    536    502    627
     512     428    685    760    457    732    750    247    236    257
    1024     261    450    493    267    470    472    134    130    134
    2048     219    375    413    221    382    389    108    105    108
    4096     214    370    407    216    382    383    106    104    106
    8192     217    327    369    220    336    337    107    105    107

                End of test Sat Apr  1 01:59:49 2023

