    BusSpeed riscv64 rv64g-c910 optimized Sat Sep  3 22:27:15 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3246   3317   3604   4181   4160   4544
      32   3485   3532   3556   4152   4174   4554
      64    629    906   1476   2057   2918   3480
     128    362    499    904   1318   2215   2833
     256    353    497    894   1286   2192   2794
     512    355    499    891   1287   2192   2795
    1024    355    498    888   1288   2193   2794
    4096    141    233    389    761   1664   2703
   16384    133    231    384    733   1613   2641
   65536    131    234    387    736   1621   2649
