    BusSpeed riscv64 rv64g-opt optimized Sat Sep  3 22:27:55 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3234   3303   3595   4179   4158   4544
      32   3474   3527   3551   4162   4175   4551
      64    862   1250   1834   2571   3311   3862
     128    399    551    963   1407   2315   2935
     256    353    487    881   1290   2178   2797
     512    355    490    881   1297   2178   2797
    1024    355    491    887   1293   2178   2797
    4096    128    237    395    763   1669   2710
   16384    129    234    389    734   1617   2654
   65536    130    235    390    739   1631   2669
