    BusSpeed riscv64 rv64g-opt optimized Sat Sep  3 22:28:15 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3095   3323   3538   4183   4162   4546
      32    850   1159   1616   2264   3130   3622
      64    394    569    996   1460   2347   2978
     128    362    512    909   1322   2208   2831
     256    351    501    894   1293   2185   2797
     512    354    504    886   1292   2185   2797
    1024    353    504    890   1293   2185   2797
    4096    129    235    395    762   1666   2708
   16384    130    233    389    734   1608   2646
   65536    130    234    391    733   1619   2657
