    BusSpeed riscv64 rv64g-opt optimized Sat Sep  3 22:29:05 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3290   3327   3592   3802   4436   4449
      32    873   1196   1713   2152   3157   3626
      64    821   1141   1679   2147   3145   3605
     128    378    549    949   1316   2217   2812
     256    352    495    905   1262   2218   2768
     512    355    498    904   1259   2217   2751
    1024    355    499    910   1258   2219   2767
    4096    133    236    403    770   1547   2674
   16384    132    231    396    749   1506   2646
   65536    133    233    397    749   1509   2643
