    BusSpeed riscv64 rv64g-opt optimized Sat Sep  3 22:31:14 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3267   3325   3611   4177   4160   4544
      32   1041   1258   1941   2556   3233   3855
      64    653    914   1404   1942   2792   3425
     128    352    503    888   1288   2186   2796
     256    351    502    878   1291   2186   2797
     512    353    503    882   1288   2185   2796
    1024    354    504    888   1291   2182   2796
    4096    128    235    395    763   1668   2703
   16384    130    233    390    734   1610   2648
   65536    130    234    391    735   1615   2655
