    BusSpeed riscv64 rv64g-opt optimized Sat Sep  3 22:31:44 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3302   3331   3514   3813   4439   4450
      32    850   1148   1649   2163   3156   3628
      64    604    792   1300   1766   2703   3248
     128    392    544    963   1355   2298   2861
     256    352    496    892   1262   2221   2760
     512    354    500    897   1259   2221   2761
    1024    356    499    899   1260   2221   2761
    4096    132    234    400    765   1545   2677
   16384    132    231    395    750   1507   2647
   65536    133    233    397    751   1511   2648
