    BusSpeed riscv64 rv64g-opt optimized Sat Sep  3 22:32:03 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3303   3330   3581   3814   4438   4443
      32    802   1187   1661   2173   3157   3625
      64    591    775   1340   1849   2824   3354
     128    352    499    891   1262   2212   2745
     256    353    495    895   1262   2221   2758
     512    356    497    897   1262   2220   2761
    1024    354    499    897   1262   2219   2760
    4096    132    234    400    765   1543   2679
   16384    132    232    396    748   1507   2645
   65536    133    233    397    748   1511   2648
