    BusSpeed riscv64 rv64g optimized Sat Sep  3 22:32:43 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3258   3306   3608   4184   4160   4543
      32   3487   3536   3557   4164   4172   4549
      64    812   1121   1665   2290   3066   3678
     128    357    510    883   1277   2191   2803
     256    359    507    892   1281   2195   2806
     512    363    510    890   1280   2195   2803
    1024    361    510    895   1278   2196   2802
    4096    139    229    392    767   1654   2707
   16384    140    228    384    741   1607   2649
   65536    140    230    388    741   1615   2654
