    BusSpeed riscv64 rv64g optimized Sat Sep  3 22:33:23 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16    639    886   1346   1863   2679   3225
      32    428    578    996   1466   2307   2958
      64    482    654   1078   1598   2445   3095
     128    368    520    905   1307   2203   2821
     256    361    509    899   1280   2197   2808
     512    363    511    898   1279   2196   2807
    1024    362    511    898   1279   2196   2803
    4096    140    230    392    766   1657   2707
   16384    140    228    386    738   1607   2648
   65536    141    230    388    741   1611   2649
