    BusSpeed riscv64 rv64g optimized Sat Sep  3 22:34:03 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3270   3321   3576   3801   4432   4436
      32    889   1093   1679   2161   3252   3625
      64    747   1012   1613   2063   3097   3495
     128    384    545    946   1317   2279   2811
     256    357    492    926   1260   2222   2763
     512    359    502    914   1258   2223   2763
    1024    360    504    915   1262   2225   2762
    4096    140    222    385    763   1593   2674
   16384    137    222    383    747   1553   2643
   65536    139    225    385    748   1559   2648
