    BusSpeed riscv64 rv64g optimized Sat Sep  3 22:35:33 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3268   3318   3587   3803   4431   4448
      32   1094   1347   1926   2442   3374   3743
      64    506    701   1182   1625   2623   3145
     128    381    538    942   1311   2278   2814
     256    357    502    906   1261   2219   2760
     512    360    506    899   1262   2221   2757
    1024    361    505    901   1263   2220   2761
    4096    140    222    395    763   1598   2681
   16384    139    224    389    749   1552   2644
   65536    138    226    389    750   1558   2644
