 ##########################################

   Memory Reading Speed Test riscv64 rv64g-c910 optimized Sun Sep  4 01:23:16 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7599   3907   4162   7612   3970   4117   6934   2995   3056
      16    7601   3909   4159   7615   3980   4124   6782   3043   3156
      32    4803   2328   3181   4385   2872   3072   7214   3169   3267
      64    3770   2218   3365   3667   2497   3216   7788   3377   3383
     128    3318   2073   3275   3297   2218   3170   6006   3000   3028
     256    3213   1988   3077   3183   2129   2970   6105   3006   3039
     512    3102   1878   2817   3074   2059   2697   6172   3015   3054
    1024    1239   1020   2709   1230   1185   2588   6197   3017   3041
    2048     943    797   2696    941    931   2595   5652   2999   3014
    4096     754    660   2609    751    753   2486   4571   2955   2971
    8192     779    688   2708    773    770   2586   3352   2829   2851

                End of test Sun Sep  4 01:23:32 2022

