 ##########################################

   Memory Reading Speed Test riscv64 rv64g-opt optimized Sun Sep  4 01:25:07 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7585   3935   3884   7563   3914   4116   6633   3001   2975
      16    7603   3952   3884   7607   3920   4123   7098   3067   3012
      32    5476   2834   3568   5741   2437   3025   7157   3207   3129
      64    4419   2202   3132   4659   1948   2499   7589   3302   3258
     128    4440   2106   3062   4792   1714   2298   6694   3130   3145
     256    4714   2105   2881   4793   1951   2542   6169   3007   3008
     512    4627   2108   2954   4875   2263   2796   6269   3028   3028
    1024    4191   1817   2684   4506   2225   1971   6266   3024   3025
    2048    3028    924   2687   3470   2335    943   6251   3018   3020
    4096    2224    712   2620   2387   2097    657   4377   2951   2951
    8192    2188    681   2710   2299   2139    748   3353   2828   2834

                End of test Sun Sep  4 01:25:22 2022

