 ##########################################

   Memory Reading Speed Test riscv64 rv64g-opt optimized Sun Sep  4 01:28:04 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7570   8206   6637   7600   7626   6900   6488   3431   6488
      16    7584   8338   6641   7593   7635   6900   6591   3377   6684
      32    4979   5575   5539   4706   5572   5559   6915   3425   7555
      64    4460   4183   5459   4408   4153   5672   6487   3290   6236
     128    4561   4370   5212   4839   4284   5367   6284   3266   5856
     256    4532   4357   5084   4795   3794   5340   6150   3302   5991
     512    4680   4113   5556   4947   4511   5506   6224   3329   6266
    1024    4449   3829   5302   4666   3731   5204   6236   3331   6278
    2048    3796   2688   5262   3854   2845   5217   6240   3334   6284
    4096    2243   1873   4922   2289   1474   4687   4430   3262   4416
    8192    2188   1375   5116   2210   1303   4489   3390   3123   3372

                End of test Sun Sep  4 01:28:20 2022

