 ##########################################

   Memory Reading Speed Test riscv64 rv64g-opt optimized Sun Sep  4 01:29:41 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7599   8210   6351   7601   7984   7100   6829   3376   6711
      16    7586   8341   6361   7593   8035   7103   6770   3393   6748
      32    7573   8400   6366   7577   8039   7103   6883   3406   6900
      64    5428   5215   5691   4828   6565   6177   7280   3476   7374
     128    4974   5111   5403   4652   6430   6010   6698   3359   6297
     256    5038   5087   5626   4774   6114   5648   6234   3313   6063
     512    4947   4340   5462   4669   5899   5546   6224   3329   6283
    1024    4844   4355   5341   4602   5660   5349   6233   3330   6280
    2048    3849   2923   5242   3515   5294   5289   6240   3333   6299
    4096    2226   1970   4975   2169   3956   4935   4675   3271   4673
    8192    2160   1628   5014   2116   2223   4903   3369   3113   3357

                End of test Sun Sep  4 01:29:57 2022

