 ##########################################

   Memory Reading Speed Test riscv64 rv64g-opt optimized Sun Sep  4 01:29:57 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7600   7495   6794   7608   7500   6777   6351   2907   6547
      16    7603   7500   6822   7609   7506   6789   6403   2929   6449
      32    5439   6861   5503   5312   6871   5297   6896   3066   6866
      64    5337   6782   5833   5085   6834   5011   6320   3001   5973
     128    4704   6040   4925   4682   6094   3572   6420   3061   6009
     256    4643   5827   4872   4743   5803   3404   6223   3024   6087
     512    4511   5515   4902   4702   5529   3334   6250   3021   6221
    1024    4433   5477   4861   4789   5492   3336   6272   3026   6233
    2048    3327   4984   4643   3486   5014   1547   6263   3012   6237
    4096    2096   4263   4324   2090   4418   1169   4422   2954   4405
    8192    2090   3866   4353   2091   4100   1241   3354   2836   3346

                End of test Sun Sep  4 01:30:13 2022

