 ##########################################

   Memory Reading Speed Test riscv64 rv64g-opt optimized Sun Sep  4 01:31:33 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7543   8195   8028   7593   7626   7262   7321   3462   7374
      16    7561   8340   8040   7601   7638   7264   6920   3415   6950
      32    7574   8404   8042   7572   7640   7265   6667   3403   6931
      64    4980   5319   6615   4571   5331   6093   7023   3461   7104
     128    4560   4221   6085   4339   4256   5245   6262   3274   4946
     256    4680   3931   5781   4341   3837   5038   6196   3302   4650
     512    4894   4341   6122   4592   4189   5331   6197   3327   4278
    1024    4739   4107   5904   4462   4219   5162   6235   3332   6281
    2048    3360   2464   5563   3103   2507   4959   6237   3333   4195
    4096    2236   1940   5306   2131   1331   4936   4688   3269   3171
    8192    2232   1423   5481   2169   1472   4980   3342   3125   1458

                End of test Sun Sep  4 01:31:49 2022

