 ##########################################

   Memory Reading Speed Test riscv64 rv64g-opt optimized Sun Sep  4 01:32:05 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7534   8211   8032   7596   7618   7265   6493   3348   6372
      16    7557   8335   8042   7603   7637   7267   6413   3433   6501
      32    7576   8405   8046   7581   7644   7267   6451   3375   6534
      64    5700   6357   7472   5175   6015   6663   7107   3459   7188
     128    4819   5120   6241   4321   5268   5460   6718   3376   5846
     256    4811   4524   6132   4793   4993   5394   6201   3308   3934
     512    4829   4674   6177   4582   4621   5466   6224   3329   4157
    1024    4825   4455   5993   4570   4577   5265   6231   3332   4194
    2048    3512   2780   5785   3213   2813   5142   6241   3333   5142
    4096    2248   2021   5380   2174   1393   4943   4314   3265   2248
    8192    2181   1660   5187   2115   1696   4928   3397   3117   1512

                End of test Sun Sep  4 01:32:20 2022

