 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Sun Sep  4 01:34:10 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7615   4230   3944   7611   4232   4224   7241   3714   3686
      16    7632   4247   3952   7629   4248   4241   6898   3559   3622
      32    7634   4251   3957   7629   4251   4246   6813   3628   3651
      64    5037   3426   2188   5165   3237   2167   6295   3467   3458
     128    4593   3063   2002   4661   3001   1845   6452   3494   3487
     256    4876   3015   1947   5059   3048   1793   6208   3402   3383
     512    4859   3096   1972   4994   3051   1797   6314   3418   3395
    1024    4898   3154   1975   4971   3093   1798   6322   3420   3392
    2048    4277   2885   1009   4343   2901    836   6318   3420   3398
    4096    3008   2352    604   3067   2528    509   4991   3391   3360
    8192    3069   2441    656   3125   2453    519   3332   3201   3170

                End of test Sun Sep  4 01:34:26 2022

