 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Sun Sep  4 01:36:01 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7622   7867   6119   7621   7616   7619   6395   3395   5928
      16    7635   7888   6123   7634   7648   7638   6435   3433   6092
      32    5610   4773   5325   5319   4736   4258   7242   3654   6211
      64    5868   5205   3914   5643   5005   4640   6153   3361   5682
     128    4593   3780   4480   4539   3569   3889   6417   3468   5792
     256    4604   3712   5122   4604   3454   4257   6276   3405   5934
     512    4626   3734   4419   4858   3467   4190   6310   3412   6023
    1024    4731   3815   5196   4695   3500   4973   6326   3420   5967
    2048    4148   1865   3957   3899   1607   2991   6321   3421   5991
    4096    3046   1277   3748   2522   1124   1182   4519   3376   4301
    8192    2997   1424   3487   2407   1216   1031   3431   3227   3364

                End of test Sun Sep  4 01:36:17 2022

