 ##########################################

   Memory Reading Speed Test riscv64 rv64g optimized Sun Sep  4 01:37:53 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7623   7855   7616   7625   7630   6118   6394   3416   5950
      16    7638   7893   7642   7627   7649   6122   6455   3419   6050
      32    7642   7904   7646   7638   7654   6128   6778   3708   6215
      64    4994   4153   4742   4865   3939   3169   7523   3766   6325
     128    5069   3748   5835   5092   3372   3215   6869   3570   5987
     256    5120   3758   5948   5090   3361   4238   6286   3406   5804
     512    5148   3840   6104   5176   3400   4385   6310   3416   5994
    1024    5158   3785   6043   5094   3385   4125   6324   3419   5849
    2048    3980   1660   5579   3980   1285   3707   6319   3420   6003
    4096    3029   1246   4778   3046    960   2263   4784   3378   4512
    8192    3020   1360   2401   3011   1007   3888   3377   3227   3307

                End of test Sun Sep  4 01:38:10 2022

