    BusSpeed riscv64 rv64g-c910 optimized Sun Sep  4 10:54:24 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3318   3330   3613   3839   4453   4458
      32   1276   1553   1999   2914   3736   4010
      64    542    730   1219   1661   2649   3168
     128    380    542    942   1361   2335   2844
     256    353    499    901   1261   2256   2772
     512    355    502    899   1262   2256   2769
    1024    356    499    900   1263   2255   2767
    4096    131    234    400    759   1553   2681
   16384    133    232    396    749   1511   2649
   65536    133    234    396    750   1508   2657
