    BusSpeed riscv64 rv64g-opt optimized Sun Sep  4 11:00:33 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3170   3322   3575   4180   4161   4545
      32   3448   3534   3525   4167   4177   4554
      64    616    876   1324   1883   2726   3344
     128    354    504    872   1293   2188   2791
     256    350    501    883   1279   2186   2797
     512    354    504    880   1286   2186   2796
    1024    354    504    886   1282   2186   2796
    4096    129    235    395    763   1669   2706
   16384    130    234    391    735   1618   2650
   65536    130    235    391    736   1621   2653
