    BusSpeed riscv64 rv64g-opt optimized Sun Sep  4 11:02:52 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16    822   1081   2342   3520   3736   4235
      32   1092   1298   1960   2583   3233   3817
      64    472    680   1171   1698   2568   3181
     128    384    552    933   1386   2259   2892
     256    350    501    874   1291   2184   2797
     512    354    504    889   1292   2185   2796
    1024    354    504    890   1292   2185   2797
    4096    129    235    395    763   1668   2707
   16384    130    234    391    735   1617   2657
   65536    130    235    392    738   1628   2668
