    BusSpeed riscv64 rv64g optimized Sun Sep  4 10:55:53 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3290   3316   3595   3813   4438   4450
      32   3509   3534   3668   3792   4456   4457
      64    815   1086   1758   2240   3235   3605
     128    356    499    903   1259   2221   2766
     256    356    505    910   1260   2224   2765
     512    359    505    910   1261   2225   2765
    1024    359    505    910   1261   2227   2765
    4096    136    224    394    768   1605   2679
   16384    138    224    390    751   1562   2657
   65536    138    224    391    751   1564   2660
