    BusSpeed riscv64 rv64g optimized Sun Sep  4 10:57:03 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3291   3321   3592   3809   4438   4448
      32   3508   3534   3661   3792   4455   4456
      64    813   1067   1818   2291   3234   3677
     128    357    503    912   1265   2237   2768
     256    353    498    905   1258   2202   2764
     512    360    504    892   1253   2225   2763
    1024    360    504    913   1260   2226   2763
    4096    136    224    394    765   1605   2674
   16384    137    223    389    749   1561   2641
   65536    138    224    390    747   1557   2650
