    BusSpeed riscv64 rv64g optimized Sun Sep  4 10:57:33 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3251   3317   3607   4183   4159   4544
      32    859   1053   1686   2272   3111   3665
      64    689    967   1508   2094   2930   3510
     128    362    511    887   1283   2193   2792
     256    359    508    892   1275   2193   2804
     512    362    511    891   1275   2195   2805
    1024    360    511    895   1275   2195   2805
    4096    140    230    392    765   1658   2707
   16384    140    229    387    740   1615   2661
   65536    141    231    389    745   1617   2660
