    BusSpeed riscv64 rv64g optimized Sun Sep  4 10:58:23 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3274   3276   3611   4178   4159   4536
      32   2004   2295   2603   3819   3956   4377
      64    600    796   1280   1820   2672   3326
     128    390    560    945   1397   2294   2883
     256    361    495    895   1291   2194   2804
     512    361    511    897   1294   2195   2805
    1024    363    510    898   1294   2194   2807
    4096    140    230    392    771   1665   2708
   16384    140    229    388    744   1610   2656
   65536    141    230    389    748   1615   2664
