    BusSpeed riscv64 rv64g optimized Sun Sep  4 10:59:23 2022
       Copyright (C) 2013, Roy Longbottom

    Reading Speed 4 Byte Words in MBytes/Second
  Memory  Inc32  Inc16   Inc8   Inc4   Inc2   Read
  KBytes  Words  Words  Words  Words  Words    All

      16   3269   3318   3610   4182   4158   4543
      32    871   1043   1647   2321   3116   3687
      64    607    844   1368   1889   2763   3371
     128    379    524    930   1353   2239   2846
     256    360    508    885   1294   2195   2806
     512    360    512    891   1293   2195   2795
    1024    361    511    896   1293   2194   2806
    4096    139    229    392    770   1667   2705
   16384    140    229    388    742   1613   2661
   65536    140    229    388    748   1618   2665
