 ##########################################

   Memory Reading Speed Test riscv64 rv64g-c910 optimized Sun Sep  4 13:51:44 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7586   7874   8475   7588   7976   7267   6343   2959   6364
      16    7582   7896   8484   7591   8030   7270   6578   3108   7089
      32    3899   6437   6936   3919   6461   6402   5560   2875   3785
      64    3873   6431   6645   3815   5566   6219   5892   2969   3763
     128    3169   5609   6564   3158   5525   5569   6039   3004   3285
     256    3219   6010   6647   3229   5593   5951   6101   3005   2997
     512    3229   6419   6675   3282   5456   6361   6175   3020   3012
    1024    2746   5793   6570   2713   6001   5621   6216   3029   3028
    2048    1016   5191   6092   1000   5277   4967   6217   3016   3105
    4096     738   4957   5693    731   4668   4315   4307   2943   1046
    8192     781   5503   5820    776   5093   5188   3608   2844   1098

                End of test Sun Sep  4 13:51:59 2022

