 ##########################################

   Memory Reading Speed Test riscv64 rv64g-c910 optimized Sun Sep  4 13:51:59 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7432   7500   7632   7604   7631   7282   6412   2915   6347
      16    7611   7505   7631   7617   7694   7266   6549   2962   6555
      32    5494   6751   6510   5407   6896   6237   6958   3118   7092
      64    3033   4368   4462   3094   4306   5457   6715   3159   5117
     128    2822   4291   4525   2849   4309   5534   6132   3013   3864
     256    2880   4429   4821   2917   4530   5535   6171   3019   4010
     512    2985   4701   5032   3018   4806   5742   6206   3024   4028
    1024    1082   4894   4566   1089   4971   5476   6205   3017   4021
    2048    1055   4919   4582   1052   4954   5432   6207   3019   3996
    4096     750   4844   4223    761   4913   4987   4274   2954    972
    8192     764   5020   4187    776   4892   4922   3397   2840    676

                End of test Sun Sep  4 13:52:15 2022

