 ##########################################

   Memory Reading Speed Test riscv64 rv64g-opt optimized Sun Sep  4 14:01:31 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7550   3941   3885   7600   3908   4121   6511   2907   6606
      16    7610   3952   3884   7614   3921   4110   6455   2923   6372
      32    7591   3955   3881   7582   3924   4119   6453   2982   6653
      64    6096   2924   3491   5598   2520   2860   7153   3325   7229
     128    4682   2403   3138   3325   1755   1664   6499   3104   6099
     256    4159   2489   3039   4352   1661   2329   6145   2995   6007
     512    4069   2468   3092   4317   1645   1805   6257   3020   6242
    1024    3852   1544   2904   3678    927   1411   6260   3025   6191
    2048    3244   1363   2749   2353    658    973   6264   3014   6213
    4096    2242   1172   2434   1158    466    470   4261   2949   4247
    8192    2124   1331   2365   1130    505    467   3537   2863   3576

                End of test Sun Sep  4 14:01:48 2022

