 ##########################################

   Memory Reading Speed Test riscv64 rv64g-opt optimized Sun Sep  4 14:03:09 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7583   7626   7886   7593   7990   7875   6518   3351   6356
      16    7590   7639   7893   7603   8016   7899   6467   3387   6507
      32    7573   7647   7904   7580   8030   7894   6421   3373   6474
      64    5009   5367   6875   5603   6724   5631   6071   3208   4964
     128    4434   6096   6836   5400   7007   5448   6313   3276   5033
     256    4254   4949   5556   4656   5089   5537   6265   3321   5917
     512    4049   4453   5150   4437   4797   5450   6258   3330   6122
    1024    3122   2825   5260   4004   4791   4563   6244   3331   6103
    2048    2771   2677   5343   3473   5016   4453   5679   3316   5754
    4096    1881   1782   5096   2388   3486   3555   4215   3261   4230
    8192    1910   2135   5450   2281   2700   3142   3555   3110   3537

                End of test Sun Sep  4 14:03:25 2022

