 ##########################################

   Memory Reading Speed Test riscv64 rv64g-opt optimized Sun Sep  4 14:05:01 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7586   7622   7856   7545   7628   7881   6714   3398   6768
      16    7589   7638   7896   7564   7639   7898   6644   3389   6727
      32    7569   7645   7901   7576   7635   7898   7013   3425   6942
      64    3950   4657   6146   4086   4724   6178   7077   3454   7234
     128    3834   4517   5691   4749   4523   5742   6353   3322   6179
     256    3719   4739   5652   4823   3572   5633   6133   3303   6163
     512    3984   4272   5217   4514   3519   5200   6226   3330   6267
    1024    3438   3105   5085   4178   2729   5060   6239   3334   6285
    2048    2618   2340   5140   3336   2159   5139   6242   3330   6283
    4096    1787   1751   4942   2239   1496   5045   4309   3267   4297
    8192    1801   2056   5479   2191   1461   5420   3566   3154   3581

                End of test Sun Sep  4 14:05:17 2022

