 ##########################################

   Memory Reading Speed Test riscv64 rv64g-opt optimized Sun Sep  4 14:05:17 2022
                 Copyright (C) 2013, Roy Longbottom

  Memory   x[m]=x[m]+s*y[m] Int  x[m]=x[m]+y[m]         x[m]=y[m]
  KBytes    Dble   Sngl  Int32   Dble   Sngl  Int32   Dble   Sngl  Int32
    Used    MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S   MB/S

       8    7589   7378   6920   7607   7472   6832   6847   2986   6872
      16    7603   7373   6914   7552   7490   6838   7449   3244   7440
      32    5050   5706   5751   5428   4489   6020   7553   3216   7437
      64    4143   6051   5850   4915   4852   5699   7874   3365   7875
     128    4124   5734   5657   4939   4469   5748   6227   3028   5669
     256    4276   5396   5483   4811   4595   5747   6204   3013   6168
     512    4029   4921   5172   4582   4510   5723   6256   3021   6221
    1024    3454   4967   5224   4278   2399   5626   6257   3023   6289
    2048    2771   4851   5121   3422   1807   5364   6256   3018   6215
    4096    2008   4234   5027   2382   1433   5013   4406   2959   4412
    8192    2035   3908   5237   2293   1517   4990   3568   2855   3560

                End of test Sun Sep  4 14:05:33 2022

